['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| già mi era lungo scrivere <PER> <PER> e poi la password <*> già mi era lungo scrivere <PER> <PER> e poi la password adesso devo scrivere <PER> <PER> tutto <PER> <*> <PER> ||| gia rincoglionivo prima adesso devo rincoglionire due volte
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| già mi era lungo scrivere <PER> <PER> e poi la password <*> già mi era lungo scrivere <PER> <PER> e poi la password adesso devo scrivere <PER> <PER> tutto <PER> <*> <PER> ||| gia rincoglionivo prima adesso devo rincoglionire due volte
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| provi a mandar ci una mail ||| purtroppo non sono io che faccio questo tipo di operazioni
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| mandar la a i sistemisti di posta ||| inoltrare la richiesta
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non non sono a conoscenza che l' abbiano se l' abbiano già fatto o meno ||| tentar non nuoce
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| <PER> <PER> mi dice che l' ha trovato ||| invece di <PER> <PER> quello è sicuro che non c' è
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| intanto le lascio il numero di chiamata ||| allora il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <*> allora il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è andata a vedere se funziona ||| che la mia collega è la prima volta che si collega
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la mia collega è la prima volta che si collega ||| perché prima non si entrava con il PIN
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| le dava qualche errore prima ||| quando la collega non riusciva ad accedere
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome non aveva bisogno di entrare ||| il le bollature le le vedeva comunque
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non aveva bisogno di entrare ||| perché lei non è che fa protocollo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il le bollature le le vedeva comunque ||| perché entravi in la smart
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| mi può attendere un attimo ||| che mi <*> che mi squilla l' altro tele
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| avrei bisogno che mi facesse una cortesia ||| provi a andare su su risorse di il computer
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| provi a andare su su risorse di il computer ||| poi vada in C
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| è proprio risorse di il computer ||| ma dovrebbe veder lo da entrambi sia <*> ma dovrebbe veder lo da entrambi sia da esplora
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| dovrebbe veder lo da entrambi sia <*> dovrebbe veder lo da entrambi sia da esplora ||| lo vedo solo da il C da risorse di il computer
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho aperto disco locale C ||| poi guardi se già qui in questa directory c' è una cartella che si chiama <SW>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| 208 ||| ho aperto
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| apriamo anche quella ||| entriamo dentro la cartella data
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| la richiamo io non appena ||| mi comunicano l' avvenuta ricertificazione
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| mi comunicano l' avvenuta ricertificazione ||| e proviamo poi a effettua a effettuare accesso
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| mi comunicano l' avvenuta ricertificazione ||| proviamo <*> poi a effettua a effettuare accesso <*> poi a effettua a effettuare accesso a effettua a effettuare accesso
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ha problemi ||| compongo il numero di con il telefono telefono e a il terzo numero va giù la lina
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| lei si <*> lei si chiama signora ||| lei è in <LOC> <LOC> <LOC> giusto
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| lei è in <LOC> <LOC> <LOC> giusto ||| qual' è il suo interno
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| qual' è il suo interno ||| a che piano e stanza signora
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non hai problemi a la linea dati vero solo fisso linea fonia ||| non hai problemi di altro tipo
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ti lascio il numero di remedy ||| allora la remedy è la numero <NUM> <*> allora la remedy è la numero <NUM> <DIGIT> <DIGIT> <*> <NUM>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| si è spenta proprio <*> si è spenta proprio il computer improvvisamente ||| e adesso non si accendo più
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| adesso non si accendo più ||| ho provato ma non dà segni di vita
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato ||| ma non dà segni di vita
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è già capitato un mese fa circa un mese e mezzo fa che si rompesse la scheda di l' avviamento quindi ||| io non vorrei <*> io non vorrei ecco non vorrei che sia la stessa cosa
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non vorrei che sia la stessa cosa ||| perchè non si accende nessuno LED neanche davanti
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non si accende nessuno LED neanche davanti ||| fa uno strano rumore
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| fa uno strano rumore ||| quando schiaccio il pulsante
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| fa uno strano rumore ||| però non parte la macchina
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non parte la macchina quindi ||| proprio <CHARS>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| credo proprio di sì ||| perchè se non si accende <*> proprio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| riesce solo a vedere dietro se c' è il pulsantino ||| di solito c' è un <*> di solito c' è un pulsante di l' alimentatore
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| per caso è su lo zero ||| dovrebbe essere su l' uno
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| c' è proprio qualche qualche problema di tipo hardware ||| invece il monitor si accende correttamente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| 231 ||| però gli arriva l' alimentazione
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| gli arriva l' alimentazione ||| si è acceso
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| si è acceso ||| la luce c' è
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| la luce c' è ||| però non va
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non va ||| perchè il PC non parte
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il PC non parte ||| infatti <*> non ha segnale
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| massima urgenza per favore ||| perchè sono fermo adesso accidenti
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le lascio solo il numero di la <*> chiamata ||| allora il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <*> allora il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <*> il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> ||| e <*> per quanto riguarda la registrazione non avevo capito prima esattamente di che cosa si <*> per quanto riguarda la registrazione non avevo capito prima esattamente di che cosa si tratta questo progetto
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| _ ||| il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <*> il numero di chiamata è <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT> <DIGIT>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| per quanto riguarda la registrazione non avevo capito prima esattamente di che cosa si <*> per quanto riguarda la registrazione non avevo capito prima esattamente di che cosa si tratta questo progetto ||| mo lo può <*> mo lo può ripetere per favore
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| come capo progetto <*> come capo progetto c' è <ORG> ||| ci sono vari enti internazionali tra cui alcune università
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è un progetto di ricerca che il <ORG> sta seguendo assieme ||| è proprio solo un progetto <*> è proprio solo un progetto esclusivamente per lo sviluppo di le tecnologie di riconoscimento <*> vocale
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è proprio solo un progetto <*> è proprio solo un progetto esclusivamente per lo sviluppo di le tecnologie di riconoscimento <*> vocale ||| devono essere registrate di le <*> devono essere registrate di le delle di le voci
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| devono essere registrate di le <*> devono essere registrate di le delle di le voci ||| noi ci <*> noi ci registriamo di le chiamate
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| noi ci <*> noi ci registriamo di le chiamate ||| e <*> ci saranno di le persone che le trascrivono
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| noi ci <*> noi ci registriamo di le chiamate ||| poi ci saranno di le persone che le trascrivono
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| le trascrivono ||| e cercano di sviluppare questi software che fanno il riconoscimento
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io inoltro subito la richiesta con massima urgenza ||| e arriverà qualcuno di il della parte hardware
